image_name,x_min,x_max,y_min,y_max
image_1,25,276,10,498
image_2,49,393,9,493
image_3,142,335,43,250
image_4,0,312,27,498
image_5,90,242,104,452
image_6,17,451,38,253
image_7,39,145,191,383
image_8,76,363,30,375
image_9,59,229,37,179
image_10,317,558,95,459
image_11,3,156,81,225
image_12,211,696,0,516
image_13,121,302,90,343
image_14,0,461,16,436
image_15,146,350,0,239
image_16,5,350,4,252
image_17,159,250,186,330
image_18,194,275,111,299
image_19,19,324,3,350
image_20,26,304,42,487
image_21,151,438,94,230
image_22,176,379,29,333
image_23,111,248,42,314
image_24,156,334,242,498
image_25,1,432,8,316
image_26,96,373,133,495
image_27,166,346,110,248
image_28,142,546,123,850
image_29,51,487,2,478
image_30,60,331,153,498
image_31,58,190,143,332
image_32,51,418,13,331
image_33,0,327,6,493
image_34,24,277,10,273
image_35,2,356,6,237
image_36,25,465,0,374
image_37,55,327,85,437
image_38,0,225,14,325
image_39,152,228,107,247
image_40,8,456,7,397
image_41,65,249,50,404
image_42,176,441,73,366
image_43,46,327,98,498
image_44,267,350,76,223
image_45,178,231,144,249
image_46,113,368,45,486
image_47,40,260,16,239
image_48,79,324,35,322
image_49,125,372,26,314
image_50,201,417,88,239
image_51,123,305,2,374
image_52,108,405,87,303
image_53,188,325,140,307
image_54,105,229,39,217
image_55,179,326,53,191
image_56,23,351,0,287
image_57,60,495,6,597
image_58,16,289,23,355
image_59,210,468,57,332
image_60,30,202,15,224
image_61,121,256,28,192
image_62,71,320,78,450
image_63,399,562,314,525
image_64,86,356,42,492
image_65,164,456,137,335
image_66,101,318,106,343
image_67,155,320,183,427
image_68,98,285,32,258
image_69,100,451,21,374
image_70,0,264,66,470
image_71,155,466,117,297
image_72,0,478,14,304
image_73,2,389,1,331
image_74,27,174,27,196
image_75,25,282,9,315
image_76,78,424,67,326
image_77,2,199,7,227
image_78,152,275,216,370
image_79,67,499,24,308
image_80,155,418,24,316
image_81,128,406,26,442
image_82,72,538,24,408
image_83,6,131,0,131
image_84,134,361,24,373
image_85,2,454,0,332
image_86,75,349,2,324
image_87,125,340,14,332
image_88,0,331,17,498
image_89,1,281,63,498
image_90,75,399,21,374
image_91,10,440,11,498
image_92,45,274,63,463
image_93,2,629,8,478
image_94,167,287,78,319
image_95,19,464,16,317
image_96,0,285,0,374
image_97,36,290,155,458
image_98,180,387,113,360
image_99,107,296,110,401
image_100,94,222,127,327
image_101,67,222,137,380
image_102,1230,2541,416,2441
image_103,85,300,78,373
image_104,30,372,32,498
image_105,173,383,4,242
image_106,209,452,6,284
image_107,25,221,19,238
image_108,17,494,3,457
image_109,10,180,22,205
image_110,65,441,27,349
image_111,153,323,93,205
image_112,129,323,124,374
image_113,8,432,87,340
image_114,70,230,91,360
image_115,42,499,11,373
image_116,0,284,9,332
image_117,114,253,180,311
image_118,158,482,14,403
image_119,61,433,65,374
image_120,112,286,49,327
image_121,124,252,234,371
image_122,78,321,117,473
image_123,30,236,14,298
image_124,70,179,148,430
image_125,107,235,70,147
image_126,96,380,87,332
image_127,71,192,1,180
image_128,98,349,61,325
image_129,69,174,6,139
image_130,177,347,134,367
image_131,92,185,71,286
image_132,0,373,25,498
image_133,21,473,0,374
image_134,159,367,119,342
image_135,0,379,0,374
image_136,119,332,103,355
image_137,189,464,288,483
image_138,53,312,68,249
image_139,17,386,17,342
image_140,49,171,35,154
image_141,62,336,35,323
image_142,125,321,9,267
image_143,105,254,12,266
image_144,45,204,130,262
image_145,143,457,46,301
image_146,139,359,12,327
image_147,63,418,90,248
image_148,149,286,74,249
image_149,42,343,0,281
image_150,8,374,16,357
image_151,107,370,29,498
image_152,0,420,36,498
image_153,1,374,1,374
image_154,82,169,53,127
image_155,142,361,8,410
image_156,27,505,36,316
image_157,10,247,2,323
image_158,30,211,3,210
image_159,92,423,55,355
image_160,133,304,52,297
image_161,33,171,28,185
