,year,day,length,avg_weight,count,missing_scales,fish_nearby,income
0,2013.0,330.0,144.0,0.0001298822,3657.0,0.0,2.0,14.8
1,2012.0,253.0,0.0,1.5,2.0,0.0,2.0,20.0
2,2015.0,81.0,8.0,1.025,3.0,0.0,4.0,55.571968
3,2016.0,241.0,12.0,1.0,1.0,0.0,2.0,187.2392
4,2014.0,165.0,144.0,0.051566318,553.0,0.0,1.0,4.0
5,2017.0,16.0,144.0,0.13035335,3746.0,504.0,1.0,6.117
6,2016.0,309.0,0.0,0.5,1.0,0.0,2.0,10.0
7,2017.0,137.0,0.0,1.0,1.0,0.0,1.0,16.7
8,2016.0,257.0,6.0,1.6666666,4.0,0.0,1.0,30.0
9,2014.0,109.0,0.0,1.0,1.0,0.0,1.0,4.23
10,2014.0,337.0,34.0,1.951121e-14,6.0,6.0,2.0,99.689
11,2017.0,164.0,24.0,0.0008503401,1.0,0.0,2.0,4.0
12,2016.0,246.0,0.0,0.5,1.0,0.0,1.0,20.0
13,2014.0,112.0,2.0,1.0,1.0,0.0,1.0,199.98953
14,2016.0,328.0,0.0,1.0,1.0,0.0,2.0,3.249606
15,2011.0,359.0,0.0,1.0,1.0,0.0,1.0,170.038
16,2015.0,134.0,144.0,0.3855406,711.0,0.0,2.0,72.0
17,2012.0,259.0,0.0,0.5,1.0,0.0,2.0,81.57184
18,2013.0,78.0,34.0,2.5431316e-06,2.0,0.0,2.0,11.036
19,2013.0,295.0,8.0,0.5,1.0,0.0,2.0,6.352654
20,2016.0,162.0,2.0,1.5,2.0,0.0,2.0,24.0
21,2015.0,111.0,144.0,0.012246097,1299.0,0.0,2.0,28.000002
22,2011.0,341.0,0.0,0.5,1.0,0.0,1.0,408.0
23,2011.0,8.0,0.0,3.0,3.0,0.0,3.0,2000.0
24,2014.0,100.0,0.0,1.0,1.0,0.0,1.0,3.7674
25,2014.0,131.0,144.0,0.75124794,563.0,305.0,2.0,399.85114
26,2014.0,142.0,0.0,0.5,1.0,0.0,2.0,30.0
27,2014.0,78.0,26.0,0.07305664,24.0,0.0,1.0,16.298
28,2018.0,147.0,0.0,0.5,1.0,0.0,1.0,20.0
29,2013.0,295.0,2.0,0.5,2.0,0.0,2.0,3.0670598
30,2011.0,39.0,2.0,0.25,1.0,0.0,1.0,62.1
31,2011.0,198.0,2.0,0.25,1.0,0.0,2.0,320614.53
32,2013.0,295.0,0.0,0.5,1.0,0.0,2.0,10.0
33,2013.0,308.0,0.0,1.0,1.0,0.0,2.0,4.13
34,2016.0,159.0,144.0,0.13447522,4594.0,0.0,2.0,12.5
35,2016.0,53.0,2.0,0.5,1.0,0.0,1.0,10.0
36,2016.0,341.0,144.0,0.047926508,6690.0,2.0,10.0,27.158268
37,2015.0,336.0,144.0,0.31945378,3047.0,2097.0,2.0,20.999
38,2017.0,40.0,0.0,1.0,1.0,0.0,1.0,5.4817615
39,2014.0,198.0,0.0,1.0,1.0,0.0,1.0,20.0
40,2012.0,152.0,10.0,0.015625,1.0,0.0,2.0,56.2648
41,2013.0,111.0,18.0,0.125,1.0,0.0,2.0,194.60545
42,2016.0,242.0,2.0,0.25,1.0,0.0,2.0,8.151133
43,2013.0,312.0,144.0,2.3188927,2389.0,1859.0,10.0,116.86983
44,2013.0,304.0,144.0,8.855357,2353.0,5.0,6.0,354.35
45,2014.0,92.0,6.0,0.6,2.0,0.0,3.0,150.0
46,2014.0,73.0,4.0,1.0,1.0,0.0,2.0,9.858698
47,2016.0,82.0,10.0,0.25,1.0,0.0,1.0,9.341911
48,2014.0,100.0,4.0,0.2,1.0,0.0,2.0,45.0
49,2017.0,62.0,8.0,0.03125,1.0,0.0,2.0,7.5
50,2011.0,73.0,8.0,0.125,1.0,0.0,1.0,5.5
51,2014.0,154.0,144.0,0.027805435,961.0,0.0,1.0,29.105
52,2013.0,208.0,0.0,1.0,1.0,0.0,1.0,8.775413
53,2013.0,285.0,78.0,1.7259284,56.0,50.0,10.0,53.403816
54,2011.0,82.0,76.0,1.1920929e-07,1.0,0.0,2.0,60.3
55,2016.0,90.0,144.0,0.038602054,3688.0,0.0,1.0,10.0
