year,day,length,avg_weight,count,missing_scales,fish_nearby,income,label
2015.0,154.0,144.0,0.016241055,593.0,0.0,1.0,22.7,1.0
2015.0,184.0,16.0,0.04520089,8.0,0.0,2.0,7.23278,0.0
2014.0,266.0,144.0,1.0144886e-07,2319.0,1848.0,2.0,10.397117,0.0
2016.0,190.0,2.0,0.33333334,3.0,0.0,2.0,3.2,1.0
2013.0,308.0,144.0,0.5469727,1633.0,0.0,2.0,14500.0,1.0
2015.0,46.0,0.0,1.0,1.0,0.0,2.0,50.0,0.0
2018.0,133.0,0.0,1.0,1.0,0.0,2.0,399.97055,0.0
2017.0,36.0,2.0,0.5,1.0,0.0,2.0,5.0,1.0
2013.0,241.0,0.0,0.5,1.0,0.0,2.0,26.36,1.0
2016.0,234.0,18.0,0.39430556,20.0,0.0,2.0,11.0,0.0
2017.0,38.0,4.0,0.5,1.0,0.0,2.0,10.0,1.0
2017.0,311.0,24.0,0.0625,1.0,0.0,2.0,3937.7803,0.0
2014.0,147.0,38.0,0.0058688694,22.0,0.0,2.0,4.3031,0.0
2015.0,130.0,120.0,0.6015625,17.0,0.0,2.0,15.808933,0.0
2011.0,150.0,2.0,0.100446425,23.0,0.0,1.0,10.0,0.0
2013.0,61.0,8.0,0.75,3.0,2.0,1.0,53.165,0.0
2016.0,253.0,144.0,0.00017137553,1640.0,0.0,1.0,20.0,1.0
2014.0,152.0,144.0,0.3022632,1415.0,1414.0,1.0,194.73993,1.0
2015.0,125.0,28.0,0.00014467593,1.0,0.0,2.0,207.47995,0.0
2014.0,172.0,22.0,0.7647059,3.0,0.0,1.0,17.012222,1.0
2018.0,329.0,20.0,0.0625,1.0,0.0,2.0,5.33822,0.0
2014.0,83.0,144.0,1.8577485,1435.0,0.0,1.0,5.0,1.0
2014.0,134.0,8.0,6.0,8.0,0.0,8.0,100.295944,1.0
2016.0,226.0,2.0,0.5,1.0,0.0,2.0,12.0,1.0
2016.0,169.0,44.0,0.0625,1.0,0.0,4.0,12.774396,1.0
2016.0,203.0,0.0,0.5,1.0,0.0,1.0,10.0,1.0
2013.0,310.0,4.0,0.25,1.0,0.0,2.0,4.25,1.0
2016.0,341.0,44.0,0.00016276042,1.0,0.0,2.0,10.0,1.0
2016.0,242.0,12.0,0.0625,1.0,0.0,2.0,24.180843,0.0
2013.0,243.0,12.0,0.015625,1.0,0.0,2.0,39.98,1.0
2011.0,196.0,8.0,0.03125,1.0,0.0,1.0,10.7,0.0
2014.0,168.0,2.0,0.75,2.0,0.0,1.0,9.228033,1.0
2017.0,36.0,0.0,1.0,1.0,0.0,1.0,4.998531,1.0
2016.0,102.0,2.0,0.5,2.0,0.0,2.0,12.5,1.0
2017.0,68.0,144.0,0.08891459,1698.0,0.0,2.0,8.0,1.0
2013.0,312.0,0.0,2.0,2.0,0.0,4.0,20.0,1.0
2013.0,159.0,2.0,0.25,1.0,0.0,2.0,82.49,1.0
2018.0,266.0,0.0,1.0,1.0,0.0,1.0,4.762039,0.0
2012.0,152.0,10.0,0.03125,1.0,0.0,2.0,1576.0,0.0
2014.0,20.0,26.0,0.0014777351,2.0,0.0,1.0,25.689945,1.0
2014.0,98.0,0.0,2.0,2.0,0.0,4.0,21.4486,1.0
2016.0,271.0,4.0,1.0,1.0,0.0,2.0,10.0,1.0
2015.0,217.0,144.0,0.0064336653,1325.0,0.0,1.0,18.2,1.0
2013.0,257.0,8.0,0.0625,1.0,0.0,2.0,15.5,0.0
2014.0,152.0,72.0,3.973643e-09,13.0,0.0,1.0,7.778821,1.0
2013.0,313.0,12.0,0.640625,5.0,0.0,1.0,10.0,1.0
2016.0,120.0,10.0,0.007900433,3.0,3.0,2.0,4.4360514,0.0
2017.0,211.0,2.0,0.16666667,1.0,0.0,2.0,5.0177975,0.0
2013.0,338.0,144.0,0.34895834,2056.0,1.0,1.0,5.0,1.0
2014.0,103.0,0.0,0.5,1.0,0.0,1.0,39.995,1.0
2014.0,67.0,144.0,0.05168545,116.0,0.0,1.0,42.3,1.0
2014.0,81.0,0.0,1.0,1.0,0.0,2.0,10.0,1.0
2013.0,167.0,0.0,0.5,1.0,0.0,1.0,3.148932,0.0
2016.0,312.0,144.0,0.025645101,4960.0,4496.0,1.0,14.099,0.0
2014.0,140.0,144.0,0.25,1705.0,0.0,1.0,7.513,0.0
2016.0,88.0,144.0,0.04265616,1130.0,0.0,2.0,10.0,1.0
2012.0,114.0,18.0,0.0009765625,1.0,0.0,2.0,19343.756,0.0
2017.0,65.0,8.0,0.22916667,7.0,0.0,2.0,155.99713,0.0
2014.0,94.0,0.0,1.0,1.0,0.0,2.0,5.0,1.0
2013.0,248.0,24.0,0.457959,12.0,0.0,2.0,10.53046,1.0
2016.0,263.0,24.0,0.001953125,1.0,0.0,2.0,8.0,1.0
2016.0,100.0,52.0,2.1803254e-12,1.0,0.0,2.0,12.5,1.0
2016.0,71.0,2.0,0.020408163,1.0,0.0,1.0,40.59,1.0
2013.0,211.0,0.0,0.5,1.0,0.0,1.0,4.0,0.0
2016.0,202.0,10.0,0.0125,1.0,0.0,1.0,40.0,1.0
2013.0,276.0,2.0,1.5,1.0,1.0,3.0,289.24457,0.0
2016.0,304.0,12.0,0.5,1.0,0.0,1.0,4.1814775,0.0
2016.0,185.0,28.0,0.004950495,1.0,0.0,2.0,20.0,0.0
2014.0,73.0,24.0,0.64191633,16.0,0.0,1.0,3.716889,1.0
2017.0,217.0,2.0,1.0,3.0,0.0,2.0,1060.0,0.0
2016.0,124.0,144.0,0.0028997133,2227.0,0.0,2.0,12.5,1.0
2015.0,13.0,14.0,0.43489584,10.0,0.0,2.0,4.0069685,0.0
2016.0,282.0,144.0,0.18837757,3207.0,0.0,2.0,9.9,1.0
2014.0,146.0,144.0,1.6482456,1240.0,0.0,3.0,36.1,1.0
2014.0,94.0,4.0,0.5,1.0,0.0,2.0,5.0,1.0
2017.0,78.0,144.0,3.4274442,457.0,0.0,2.0,27.502504,0.0
2013.0,298.0,8.0,0.703125,6.0,0.0,4.0,141.1,1.0
2014.0,30.0,4.0,1.0,1.0,0.0,2.0,3.1666157,0.0
2013.0,149.0,70.0,0.0009765625,1.0,0.0,2.0,11.652414,1.0
2014.0,35.0,10.0,0.0020833334,1.0,0.0,2.0,10.3,1.0
2016.0,276.0,0.0,0.125,1.0,0.0,2.0,5.844022,0.0
2017.0,126.0,90.0,6.725637e-08,1.0,0.0,2.0,269.09668,0.0
2011.0,70.0,6.0,0.9375,27.0,26.0,4.0,49.0,0.0
2014.0,339.0,0.0,0.5,1.0,0.0,1.0,10.148934,0.0
2012.0,232.0,14.0,0.015625,1.0,0.0,1.0,3.4799488,1.0
2013.0,151.0,2.0,1.5,2.0,0.0,1.0,460.003,1.0
2016.0,341.0,38.0,7.2759576e-11,1.0,1.0,3.0,2510.6047,0.0
2016.0,257.0,12.0,0.0625,1.0,0.0,2.0,10.0,1.0
2016.0,60.0,144.0,0.0019564575,9705.0,0.0,2.0,5.0,1.0
2014.0,148.0,10.0,0.125,1.0,0.0,1.0,10.000627,1.0
2017.0,24.0,0.0,1.0,1.0,0.0,2.0,10.0,1.0
2017.0,83.0,12.0,0.0026041667,1.0,0.0,2.0,8.0,1.0
2017.0,59.0,0.0,1.0,1.0,0.0,2.0,4.19298,0.0
2014.0,90.0,12.0,0.009615385,1.0,0.0,2.0,3.6785288,1.0
2013.0,225.0,4.0,0.041666668,1.0,0.0,2.0,33.06,1.0
2015.0,289.0,144.0,0.0109397415,2521.0,0.0,1.0,37.21368,0.0
2016.0,21.0,144.0,1.1258472,4019.0,0.0,1.0,28.48,0.0
2011.0,76.0,0.0,1.0,1.0,0.0,1.0,9.0,0.0
2016.0,55.0,2.0,1.0,1.0,0.0,1.0,9.999,1.0
2013.0,311.0,0.0,0.5,1.0,0.0,2.0,354.6,1.0
2013.0,284.0,2.0,0.25,1.0,0.0,1.0,20.0,1.0
2016.0,145.0,144.0,0.000753645,3885.0,0.0,1.0,12.0,1.0
2014.0,73.0,0.0,1.0,1.0,0.0,1.0,8.956405,1.0
2017.0,210.0,4.0,0.013888889,1.0,0.0,2.0,32.174,0.0
2016.0,274.0,0.0,0.5,1.0,0.0,2.0,30.0,1.0
2015.0,270.0,2.0,0.5,1.0,0.0,1.0,30.6,1.0
2013.0,361.0,24.0,0.00021701389,1.0,0.0,2.0,623.1833,0.0
2015.0,146.0,24.0,0.0040390627,2.0,0.0,2.0,8.415019,0.0
2014.0,87.0,144.0,7.350923,2129.0,2125.0,34.0,4569.0,1.0
2015.0,148.0,0.0,0.5,1.0,0.0,2.0,177.44931,0.0
2017.0,45.0,46.0,0.00390625,1.0,0.0,2.0,10.0,1.0
2017.0,108.0,2.0,0.1,1.0,0.0,2.0,8.0,1.0
2016.0,120.0,6.0,0.125,1.0,0.0,2.0,25.0,1.0
2016.0,349.0,0.0,0.14285715,1.0,0.0,1.0,52.24212,0.0
2018.0,324.0,144.0,1.519779,12025.0,1.0,2.0,196.5377,0.0
2011.0,145.0,0.0,0.5,1.0,0.0,1.0,5.0,0.0
2016.0,161.0,20.0,0.25,1.0,0.0,2.0,12.0,1.0
2013.0,21.0,0.0,0.5,1.0,0.0,1.0,42.6819,0.0
2016.0,158.0,30.0,0.25,1.0,0.0,2.0,12.0,1.0
2012.0,281.0,0.0,1.0,1.0,0.0,2.0,376.9006,0.0
2014.0,43.0,2.0,1.0,1.0,0.0,1.0,5.0,1.0
2018.0,156.0,144.0,0.004755783,102.0,0.0,2.0,17.031828,0.0
2013.0,302.0,56.0,0.3140279,20.0,0.0,1.0,20.0,1.0
2014.0,246.0,20.0,0.0625,1.0,0.0,2.0,7.5052,0.0
2014.0,256.0,4.0,0.0052679204,4.0,0.0,1.0,5.239,0.0
2014.0,52.0,144.0,0.12646969,1979.0,0.0,1.0,4.5,1.0
