"date","Train","Passengers"
2013-01-05,1,10
2013-01-10,1,19
2013-01-15,1,6
2013-01-20,1,15
2013-01-25,1,14
2013-01-30,1,10
2013-02-04,1,10
2013-02-09,1,9
2013-02-14,1,12
2013-02-19,1,9
2013-02-24,1,17
2013-03-01,1,16
2013-03-06,1,12
2013-03-11,1,14
2013-03-16,1,18
2013-03-21,1,14
2013-03-26,1,10
2013-03-31,1,29
2013-04-05,1,16
2013-04-10,1,15
2013-04-15,1,10
2013-04-20,1,21
2013-04-25,1,21
2013-04-30,1,15
2013-05-05,1,29
2013-05-10,1,17
2013-05-15,1,27
2013-05-20,1,16
2013-05-25,1,19
2013-05-30,1,17
2013-06-04,1,10
2013-06-09,1,34
2013-06-14,1,17
2013-06-19,1,16
2013-06-24,1,17
2013-06-29,1,19
2013-07-04,1,21
2013-07-09,1,20
2013-07-14,1,29
2013-07-19,1,22
2013-07-24,1,24
2013-07-29,1,24
2013-08-03,1,19
2013-08-08,1,14
2013-08-13,1,10
2013-08-18,1,24
2013-08-23,1,18
2013-08-28,1,13
2013-09-02,1,13
2013-09-07,1,20
2013-09-12,1,22
2013-09-17,1,16
2013-09-22,1,20
2013-09-27,1,19
2013-10-02,1,16
2013-10-07,1,15
2013-10-12,1,15
2013-10-17,1,17
2013-10-22,1,15
2013-10-27,1,26
2013-11-01,1,19
2013-11-06,1,14
2013-11-11,1,15
2013-11-16,1,25
2013-11-21,1,17
2013-11-26,1,20
2013-12-01,1,17
2013-12-06,1,16
2013-12-11,1,8
2013-12-16,1,8
2013-12-21,1,16
2013-12-26,1,13
2013-12-31,1,6
2014-01-05,1,12
2014-01-10,1,8
2014-01-15,1,11
2014-01-20,1,11
2014-01-25,1,14
2014-01-30,1,17
2014-02-04,1,16
2014-02-09,1,26
2014-02-14,1,13
2014-02-19,1,13
2014-02-24,1,13
2014-03-01,1,20
2014-03-06,1,27
2014-03-11,1,22
2014-03-16,1,21
2014-03-21,1,16
2014-03-26,1,13
2014-03-31,1,13
2014-04-05,1,24
2014-04-10,1,22
2014-04-15,1,19
2014-04-20,1,30
2014-04-25,1,21
2014-04-30,1,15
2014-05-05,1,13
2014-05-10,1,19
2014-05-15,1,23
2014-05-20,1,21
2014-05-25,1,29
2014-05-30,1,15
2014-06-04,1,20
2014-06-09,1,21
2014-06-14,1,28
2014-06-19,1,32
2014-06-24,1,20
2014-06-29,1,22
2014-07-04,1,19
2014-07-09,1,24
2014-07-14,1,16
2014-07-19,1,25
2014-07-24,1,20
2014-07-29,1,19
2014-08-03,1,26
2014-08-08,1,34
2014-08-13,1,23
2014-08-18,1,20
2014-08-23,1,30
2014-08-28,1,22
2014-09-02,1,19
2014-09-07,1,25
2014-09-12,1,19
2014-09-17,1,16
2014-09-22,1,23
2014-09-27,1,21
2014-10-02,1,18
2014-10-07,1,16
2014-10-12,1,27
2014-10-17,1,18
2014-10-22,1,13
2014-10-27,1,14
2014-11-01,1,26
2014-11-06,1,29
2014-11-11,1,20
2014-11-16,1,23
2014-11-21,1,26
2014-11-26,1,12
2014-12-01,1,13
2014-12-06,1,11
2014-12-11,1,15
2014-12-16,1,12
2014-12-21,1,19
2014-12-26,1,24
2014-12-31,1,15
2015-01-05,1,11
2015-01-10,1,17
2015-01-15,1,20
2015-01-20,1,10
2015-01-25,1,13
2015-01-30,1,14
2015-02-04,1,12
2015-02-09,1,13
2015-02-14,1,31
2015-02-19,1,9
2015-02-24,1,18
2015-03-01,1,12
2015-03-06,1,22
2015-03-11,1,9
2015-03-16,1,18
2015-03-21,1,20
2015-03-26,1,24
2015-03-31,1,18
2015-04-05,1,27
2015-04-10,1,26
2015-04-15,1,15
2015-04-20,1,12
2015-04-25,1,15
2015-04-30,1,19
2015-05-05,1,25
2015-05-10,1,29
2015-05-15,1,33
2015-05-20,1,26
2015-05-25,1,13
2015-05-30,1,25
2015-06-04,1,23
2015-06-09,1,30
2015-06-14,1,23
2015-06-19,1,16
2015-06-24,1,30
2015-06-29,1,25
2015-07-04,1,32
2015-07-09,1,21
2015-07-14,1,23
2015-07-19,1,25
2015-07-24,1,31
2015-07-29,1,22
2015-08-03,1,15
2015-08-08,1,22
2015-08-13,1,16
2015-08-18,1,16
2015-08-23,1,23
2015-08-28,1,26
2015-09-02,1,11
2015-09-07,1,8
2015-09-12,1,21
2015-09-17,1,19
2015-09-22,1,14
2015-09-27,1,19
2015-10-02,1,24
2015-10-07,1,18
2015-10-12,1,15
2015-10-17,1,23
2015-10-22,1,27
2015-10-27,1,23
2015-11-01,1,34
2015-11-06,1,19
2015-11-11,1,14
2015-11-16,1,14
2015-11-21,1,32
2015-11-26,1,21
2015-12-01,1,12
2015-12-06,1,13
2015-12-11,1,21
2015-12-16,1,15
2015-12-21,1,7
2015-12-26,1,21
2015-12-31,1,18
2016-01-05,1,13
2016-01-10,1,13
2016-01-15,1,15
2016-01-20,1,19
2016-01-25,1,7
2016-01-30,1,14
2016-02-04,1,18
2016-02-09,1,22
2016-02-14,1,18
2016-02-19,1,17
2016-02-24,1,17
2016-02-29,1,14
2016-03-05,1,26
2016-03-10,1,23
2016-03-15,1,16
2016-03-20,1,21
2016-03-25,1,32
2016-03-30,1,16
2016-04-04,1,21
2016-04-09,1,32
2016-04-14,1,26
2016-04-19,1,15
2016-04-24,1,17
2016-04-29,1,30
2016-05-04,1,25
2016-05-09,1,16
2016-05-14,1,22
2016-05-19,1,31
2016-05-24,1,25
2016-05-29,1,22
2016-06-03,1,23
2016-06-08,1,23
2016-06-13,1,21
2016-06-18,1,26
2016-06-23,1,32
2016-06-28,1,32
2016-07-03,1,26
2016-07-08,1,24
2016-07-13,1,29
2016-07-18,1,26
2016-07-23,1,22
2016-07-28,1,26
2016-08-02,1,21
2016-08-07,1,20
2016-08-12,1,36
2016-08-17,1,23
2016-08-22,1,20
2016-08-27,1,23
2016-09-01,1,24
2016-09-06,1,30
2016-09-11,1,19
2016-09-16,1,27
2016-09-21,1,19
2016-09-26,1,13
2016-10-01,1,25
2016-10-06,1,27
2016-10-11,1,17
2016-10-16,1,26
2016-10-21,1,22
2016-10-26,1,22
2016-10-31,1,9
2016-11-05,1,34
2016-11-10,1,31
2016-11-15,1,23
