"date","unit"
1950-01-01,77.5052
1950-02-01,75.672
1950-03-01,67.4502
1950-04-01,62.4714
1950-05-01,60.3151
1950-06-01,63.0904
1950-07-01,67.6202
1950-08-01,68.2485
1950-09-01,65.5846
1950-10-01,61.3154
1950-11-01,63.0005
1950-12-01,73.7145
1951-01-01,78.3057
1951-02-01,72.9869
1951-03-01,67.2221
1951-04-01,62.0329
1951-05-01,60.8137
1951-06-01,64.9005
1951-07-01,70.7655
1951-08-01,69.4816
1951-09-01,66.0005
1951-10-01,62.5322
1951-11-01,64.3417
1951-12-01,73.1354
1952-01-01,78.8152
1952-02-01,75.062
1952-03-01,70.61
1952-04-01,65.1586
1952-05-01,63.8734
1952-06-01,68.8918
1952-07-01,73.8694
1952-08-01,75.0669
1952-09-01,69.1151
1952-10-01,65.3789
1952-11-01,67.4643
1952-12-01,75.5777
1953-01-01,84.8703
1953-02-01,81.1622
1953-03-01,75.2928
1953-04-01,68.2384
1953-05-01,66.4065
1953-06-01,72.1097
1953-07-01,77.9816
1953-08-01,80.7655
1953-09-01,72.5152
1953-10-01,68.2832
1953-11-01,70.1078
1953-12-01,78.8631
1954-01-01,82.9188
1954-02-01,81.6822
1954-03-01,78.3523
1954-04-01,70.1081
1954-05-01,68.6892
1954-06-01,73.4722
1954-07-01,79.0301
1954-08-01,80.0448
1954-09-01,74.3053
1954-10-01,70.8735
1954-11-01,74.0706
1954-12-01,89.1949
1955-01-01,89.3598
1955-02-01,82.1726
1955-03-01,78.1964
1955-04-01,72.2781
1955-05-01,70.8218
1955-06-01,76.4654
1955-07-01,81.614
1955-08-01,82.1052
1955-09-01,78.061
1955-10-01,72.4365
1955-11-01,73.5665
1955-12-01,82.6839
1956-01-01,91.0214
1956-02-01,82.5573
1956-03-01,78.365
1956-04-01,72.15
1956-05-01,73.8162
1956-06-01,79.8448
1956-07-01,85.0928
1956-08-01,84.1606
1956-09-01,78.5743
1956-10-01,73.7538
1956-11-01,77.5166
1956-12-01,84.4894
1957-01-01,90.2855
1957-02-01,85.1643
1957-03-01,79.5275
1957-04-01,74.6441
1957-05-01,72.1784
1957-06-01,76.2078
1957-07-01,82.5081
1957-08-01,81.5374
1957-09-01,77.3541
1957-10-01,74.0286
1957-11-01,78.4992
1957-12-01,89.5159
1958-01-01,92.9464
1958-02-01,89.5561
1958-03-01,84.4747
1958-04-01,76.0578
1958-05-01,72.6762
1958-06-01,79.3297
1958-07-01,87.1048
1958-08-01,87.0605
1958-09-01,79.6031
1958-10-01,74.681
1958-11-01,79.4292
1958-12-01,89.2284
1959-01-01,99.1386
1959-02-01,92.1607
1959-03-01,84.2456
1959-04-01,75.9749
1959-05-01,74.3844
1959-06-01,82.9831
1959-07-01,88.277
1959-08-01,86.8872
1959-09-01,80.6826
1959-10-01,76.2661
1959-11-01,80.2458
1959-12-01,89.8147
